192.168.0.103,142.251.47.100,UDP,53876,443,1292,2025-06-29 00:51:54.460690
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.464678
142.251.47.100,192.168.0.103,UDP,443,53876,1292,2025-06-29 00:51:54.470690
142.251.47.100,192.168.0.103,UDP,443,53876,343,2025-06-29 00:51:54.475677
142.251.47.100,192.168.0.103,UDP,443,53876,991,2025-06-29 00:51:54.479701
142.251.47.100,192.168.0.103,UDP,443,53876,116,2025-06-29 00:51:54.483690
192.168.0.103,142.251.47.100,UDP,53876,443,120,2025-06-29 00:51:54.487706
192.168.0.103,142.251.47.100,UDP,53876,443,73,2025-06-29 00:51:54.490698
142.251.47.100,192.168.0.103,UDP,443,53876,68,2025-06-29 00:51:54.494690
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.497706
192.168.0.103,142.251.47.100,UDP,53876,443,115,2025-06-29 00:51:54.501697
142.251.47.100,192.168.0.103,UDP,443,53876,162,2025-06-29 00:51:54.504688
192.168.0.103,142.251.47.100,UDP,53876,443,73,2025-06-29 00:51:54.507714
192.168.0.103,48.208.208.22,UDP,54119,3480,179,2025-06-29 00:51:54.510705
192.168.0.103,48.208.208.22,UDP,54119,3480,172,2025-06-29 00:51:54.511702
192.168.0.103,48.208.208.22,UDP,54119,3480,168,2025-06-29 00:51:54.514694
192.168.0.103,48.208.208.22,UDP,54119,3480,337,2025-06-29 00:51:54.518706
192.168.0.103,48.208.208.22,UDP,54119,3480,332,2025-06-29 00:51:54.521698
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.526209
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.529707
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.532701
192.168.0.103,48.208.208.22,UDP,54119,3480,167,2025-06-29 00:51:54.536212
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.539715
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.543702
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.546212
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.550710
192.168.0.103,48.208.208.22,UDP,54119,3480,1244,2025-06-29 00:51:54.554699
192.168.0.103,48.208.208.22,UDP,54119,3480,170,2025-06-29 00:51:54.557721
192.168.0.103,48.208.208.22,UDP,54119,3480,175,2025-06-29 00:51:54.588697
192.168.0.103,48.208.208.22,UDP,54119,3480,165,2025-06-29 00:51:54.591689
48.208.208.22,192.168.0.103,UDP,3480,54119,151,2025-06-29 00:51:54.595679
192.168.0.103,48.208.208.22,UDP,54119,3480,154,2025-06-29 00:51:54.598694
192.168.0.103,48.208.208.22,UDP,54119,3480,163,2025-06-29 00:51:54.602684
192.168.0.103,48.208.208.22,UDP,54119,3480,161,2025-06-29 00:51:54.605677
192.168.0.103,48.208.208.22,UDP,54119,3480,159,2025-06-29 00:51:54.608696
192.168.0.103,48.208.208.22,UDP,54119,3480,159,2025-06-29 00:51:54.612687
192.168.0.103,48.208.208.22,UDP,54119,3480,156,2025-06-29 00:51:54.623735
192.168.0.103,48.208.208.22,UDP,54119,3480,154,2025-06-29 00:51:54.634730
192.168.0.103,48.208.208.22,UDP,54119,3480,152,2025-06-29 00:51:54.638756
192.168.0.103,48.208.208.22,UDP,54119,3480,152,2025-06-29 00:51:54.643743
